Config ID,Note,LoRA R,Quantization,LR,Warmup,Weight Decay,JSON Validity,Exact Match,Slot-F1
0,Baseline,16,nf4,0.0001,0.03,0.0,1.0000,0.7820,0.8901
1,Low Rank,4,nf4,0.0001,0.03,0.0,1.0000,0.7800,0.8862
2,High Rank,32,nf4,0.0001,0.03,0.0,1.0000,0.7900,0.8900
3,Very High Rank,64,nf4,0.0001,0.03,0.0,1.0000,0.7870,0.8954
5,High LR,16,nf4,0.0002,0.03,0.0,1.0000,0.7890,0.8901
6,Low LR,16,nf4,5e-05,0.03,0.0,1.0000,0.7830,0.8880
7,Medium Warmup,16,nf4,0.0001,0.1,0.0,1.0000,0.7820,0.8903
8,High Warmup,16,nf4,0.0001,0.15,0.0,1.0000,0.7780,0.8937
9,Medium WD,16,nf4,0.0001,0.03,0.1,1.0000,0.7820,0.8898
10,High WD,16,nf4,0.0001,0.03,0.2,1.0000,0.7890,0.8868
11,Rank 8,8,nf4,0.0001,0.03,0.0,1.0000,0.7890,0.8904
